position_decile,count,pct
0-10%,679,6.81
10-20%,1577,15.82
20-30%,1920,19.26
30-40%,1802,18.08
40-50%,1487,14.92
50-60%,1057,10.6
60-70%,711,7.13
70-80%,411,4.12
80-90%,233,2.34
90-100%,91,0.91
